Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
VER,1.0,0 days 00:01:27.191000,18.0,0 days 00:58:21.863000,,0 days 00:00:39.288000,0 days 00:00:17.131000
VER,2.0,0 days 00:02:00.413000,17.0,0 days 01:00:22.276000,0 days 00:00:21.320000,0 days 00:01:15.859000,0 days 00:00:23.234000
VER,3.0,0 days 00:01:49.007000,16.0,0 days 01:02:11.283000,0 days 00:00:21.675000,0 days 00:00:58.682000,0 days 00:00:28.650000
VER,4.0,0 days 00:01:46.620000,16.0,0 days 01:03:57.903000,0 days 00:00:25.318000,0 days 00:00:59.748000,0 days 00:00:21.554000
VER,5.0,0 days 00:01:47.889000,16.0,0 days 01:05:45.792000,0 days 00:00:30.078000,0 days 00:00:50.463000,0 days 00:00:27.348000
VER,6.0,0 days 00:01:18.495000,13.0,0 days 01:07:04.287000,0 days 00:00:20.374000,0 days 00:00:40.996000,0 days 00:00:17.125000
VER,7.0,0 days 00:01:47.461000,17.0,0 days 01:08:51.748000,0 days 00:00:34.453000,0 days 00:00:45.325000,0 days 00:00:27.683000
VER,8.0,0 days 00:01:44.348000,18.0,0 days 01:10:36.096000,0 days 00:00:37.366000,0 days 00:00:49.826000,0 days 00:00:17.156000
VER,9.0,0 days 00:01:13.141000,16.0,0 days 01:11:49.237000,0 days 00:00:18.886000,0 days 00:00:37.345000,0 days 00:00:16.910000
VER,10.0,0 days 00:01:13.049000,16.0,0 days 01:13:02.286000,0 days 00:00:18.826000,0 days 00:00:37.385000,0 days 00:00:16.838000
VER,11.0,0 days 00:01:13.735000,16.0,0 days 01:14:16.021000,0 days 00:00:18.826000,0 days 00:00:38.060000,0 days 00:00:16.849000
VER,12.0,0 days 00:01:14.816000,16.0,0 days 01:15:30.837000,0 days 00:00:18.756000,0 days 00:00:39.077000,0 days 00:00:16.983000
VER,13.0,0 days 00:01:15.065000,14.0,0 days 01:16:45.902000,0 days 00:00:18.894000,0 days 00:00:39.130000,0 days 00:00:17.041000
VER,14.0,0 days 00:01:15.081000,14.0,0 days 01:18:00.983000,0 days 00:00:18.939000,0 days 00:00:39.121000,0 days 00:00:17.021000
VER,15.0,0 days 00:01:15.354000,13.0,0 days 01:19:16.337000,0 days 00:00:18.970000,0 days 00:00:39.334000,0 days 00:00:17.050000
VER,16.0,0 days 00:01:15.725000,13.0,0 days 01:20:32.062000,0 days 00:00:19.265000,0 days 00:00:39.450000,0 days 00:00:17.010000
VER,17.0,0 days 00:01:15.809000,10.0,0 days 01:21:47.871000,0 days 00:00:19.193000,0 days 00:00:39.654000,0 days 00:00:16.962000
VER,18.0,0 days 00:01:15.048000,8.0,0 days 01:23:02.919000,0 days 00:00:19.075000,0 days 00:00:38.831000,0 days 00:00:17.142000
VER,19.0,0 days 00:01:15.170000,6.0,0 days 01:24:18.089000,0 days 00:00:19.017000,0 days 00:00:38.986000,0 days 00:00:17.167000
VER,20.0,0 days 00:01:15.162000,6.0,0 days 01:25:33.251000,0 days 00:00:18.968000,0 days 00:00:39.047000,0 days 00:00:17.147000
VER,21.0,0 days 00:01:14.829000,5.0,0 days 01:26:48.080000,0 days 00:00:18.968000,0 days 00:00:38.683000,0 days 00:00:17.178000
VER,22.0,0 days 00:01:14.948000,4.0,0 days 01:28:03.028000,0 days 00:00:19.159000,0 days 00:00:38.608000,0 days 00:00:17.181000
VER,23.0,0 days 00:01:14.727000,4.0,0 days 01:29:17.755000,0 days 00:00:19.096000,0 days 00:00:38.472000,0 days 00:00:17.159000
VER,24.0,0 days 00:01:14.769000,4.0,0 days 01:30:32.524000,0 days 00:00:18.994000,0 days 00:00:38.611000,0 days 00:00:17.164000
VER,25.0,0 days 00:01:14.828000,4.0,0 days 01:31:47.352000,0 days 00:00:19.019000,0 days 00:00:38.630000,0 days 00:00:17.179000
VER,26.0,0 days 00:01:15.193000,4.0,0 days 01:33:02.545000,0 days 00:00:19.298000,0 days 00:00:38.717000,0 days 00:00:17.178000
VER,27.0,0 days 00:01:14.912000,4.0,0 days 01:34:17.457000,0 days 00:00:19.078000,0 days 00:00:38.538000,0 days 00:00:17.296000
VER,28.0,0 days 00:01:15.306000,4.0,0 days 01:35:32.763000,0 days 00:00:19.070000,0 days 00:00:38.898000,0 days 00:00:17.338000
VER,29.0,0 days 00:01:15.165000,4.0,0 days 01:36:47.928000,0 days 00:00:19.136000,0 days 00:00:38.790000,0 days 00:00:17.239000
VER,30.0,0 days 00:01:14.965000,4.0,0 days 01:38:02.893000,0 days 00:00:19.136000,0 days 00:00:38.620000,0 days 00:00:17.209000
VER,31.0,0 days 00:01:15.164000,3.0,0 days 01:39:18.057000,0 days 00:00:19.161000,0 days 00:00:38.783000,0 days 00:00:17.220000
VER,32.0,0 days 00:01:15.330000,4.0,0 days 01:40:33.387000,0 days 00:00:19.078000,0 days 00:00:38.937000,0 days 00:00:17.315000
VER,33.0,0 days 00:01:16.145000,4.0,0 days 01:41:49.532000,0 days 00:00:19.640000,0 days 00:00:39.271000,0 days 00:00:17.234000
VER,34.0,0 days 00:01:19.344000,5.0,0 days 01:43:08.876000,0 days 00:00:19.175000,0 days 00:00:38.975000,0 days 00:00:21.194000
VER,35.0,0 days 00:01:31.337000,11.0,0 days 01:44:40.213000,0 days 00:00:36.894000,0 days 00:00:37.657000,0 days 00:00:16.786000
VER,36.0,0 days 00:01:13.307000,9.0,0 days 01:45:53.520000,0 days 00:00:18.622000,0 days 00:00:37.780000,0 days 00:00:16.905000
VER,37.0,0 days 00:01:14.006000,6.0,0 days 01:47:07.526000,0 days 00:00:18.594000,0 days 00:00:38.588000,0 days 00:00:16.824000
VER,38.0,0 days 00:01:13.528000,6.0,0 days 01:48:21.054000,0 days 00:00:18.814000,0 days 00:00:37.804000,0 days 00:00:16.910000
VER,39.0,0 days 00:01:13.586000,5.0,0 days 01:49:34.640000,0 days 00:00:18.815000,0 days 00:00:37.870000,0 days 00:00:16.901000
VER,40.0,0 days 00:01:13.678000,5.0,0 days 01:50:48.318000,0 days 00:00:18.741000,0 days 00:00:38.017000,0 days 00:00:16.920000
VER,41.0,0 days 00:01:13.659000,5.0,0 days 01:52:01.977000,0 days 00:00:18.811000,0 days 00:00:37.889000,0 days 00:00:16.959000
VER,42.0,0 days 00:01:13.689000,4.0,0 days 01:53:15.666000,0 days 00:00:18.825000,0 days 00:00:37.906000,0 days 00:00:16.958000
VER,43.0,0 days 00:01:13.415000,4.0,0 days 01:54:29.081000,0 days 00:00:18.728000,0 days 00:00:37.773000,0 days 00:00:16.914000
VER,44.0,0 days 00:01:13.552000,4.0,0 days 01:55:42.633000,0 days 00:00:18.809000,0 days 00:00:37.761000,0 days 00:00:16.982000
VER,45.0,0 days 00:01:13.844000,4.0,0 days 01:56:56.477000,0 days 00:00:18.844000,0 days 00:00:38.033000,0 days 00:00:16.967000
VER,46.0,0 days 00:01:13.843000,4.0,0 days 01:58:10.320000,0 days 00:00:18.833000,0 days 00:00:38.014000,0 days 00:00:16.996000
VER,47.0,0 days 00:01:14.022000,4.0,0 days 01:59:24.342000,0 days 00:00:18.842000,0 days 00:00:38.237000,0 days 00:00:16.943000
VER,48.0,0 days 00:01:13.810000,2.0,0 days 02:00:38.152000,0 days 00:00:18.969000,0 days 00:00:37.871000,0 days 00:00:16.970000
VER,49.0,0 days 00:01:13.717000,2.0,0 days 02:01:51.869000,0 days 00:00:18.821000,0 days 00:00:37.908000,0 days 00:00:16.988000
VER,50.0,0 days 00:01:13.848000,2.0,0 days 02:03:05.717000,0 days 00:00:18.865000,0 days 00:00:37.969000,0 days 00:00:17.014000
VER,51.0,0 days 00:01:13.658000,1.0,0 days 02:04:19.375000,0 days 00:00:18.868000,0 days 00:00:37.817000,0 days 00:00:16.973000
VER,52.0,0 days 00:01:13.992000,1.0,0 days 02:05:33.367000,0 days 00:00:18.864000,0 days 00:00:38.061000,0 days 00:00:17.067000
VER,53.0,0 days 00:01:14.128000,1.0,0 days 02:06:47.495000,0 days 00:00:18.906000,0 days 00:00:38.169000,0 days 00:00:17.053000
VER,54.0,0 days 00:01:17.514000,1.0,0 days 02:08:05.009000,0 days 00:00:18.817000,0 days 00:00:38.042000,0 days 00:00:20.655000
VER,55.0,0 days 00:01:30.317000,4.0,0 days 02:09:35.326000,0 days 00:00:36.840000,0 days 00:00:36.746000,0 days 00:00:16.731000
VER,56.0,0 days 00:01:12.447000,4.0,0 days 02:10:47.773000,0 days 00:00:18.492000,0 days 00:00:37.232000,0 days 00:00:16.723000
VER,57.0,0 days 00:01:12.582000,4.0,0 days 02:12:00.355000,0 days 00:00:18.592000,0 days 00:00:37.284000,0 days 00:00:16.706000
VER,58.0,0 days 00:01:12.966000,4.0,0 days 02:13:13.321000,0 days 00:00:18.690000,0 days 00:00:37.550000,0 days 00:00:16.726000
VER,59.0,0 days 00:01:12.833000,4.0,0 days 02:14:26.154000,0 days 00:00:18.734000,0 days 00:00:37.403000,0 days 00:00:16.696000
VER,60.0,0 days 00:01:13.212000,4.0,0 days 02:15:39.366000,0 days 00:00:18.695000,0 days 00:00:37.693000,0 days 00:00:16.824000
VER,61.0,0 days 00:01:13.136000,4.0,0 days 02:16:52.502000,0 days 00:00:18.837000,0 days 00:00:37.611000,0 days 00:00:16.688000
VER,62.0,0 days 00:01:13.296000,4.0,0 days 02:18:05.798000,0 days 00:00:18.583000,0 days 00:00:38.109000,0 days 00:00:16.604000
VER,63.0,0 days 00:01:13.401000,3.0,0 days 02:19:19.199000,0 days 00:00:18.918000,0 days 00:00:37.622000,0 days 00:00:16.861000
VER,64.0,0 days 00:01:13.216000,3.0,0 days 02:20:32.415000,0 days 00:00:18.777000,0 days 00:00:37.593000,0 days 00:00:16.846000
VER,65.0,0 days 00:01:13.124000,3.0,0 days 02:21:45.539000,0 days 00:00:18.671000,0 days 00:00:37.562000,0 days 00:00:16.891000
VER,66.0,0 days 00:01:13.469000,3.0,0 days 02:22:59.008000,0 days 00:00:18.747000,0 days 00:00:37.821000,0 days 00:00:16.901000
VER,67.0,0 days 00:01:13.463000,3.0,0 days 02:24:12.471000,0 days 00:00:18.825000,0 days 00:00:37.919000,0 days 00:00:16.719000
VER,68.0,0 days 00:01:13.536000,3.0,0 days 02:25:26.007000,0 days 00:00:18.697000,0 days 00:00:38.075000,0 days 00:00:16.764000
VER,69.0,0 days 00:01:13.472000,3.0,0 days 02:26:39.479000,0 days 00:00:18.660000,0 days 00:00:38.091000,0 days 00:00:16.721000
VER,70.0,0 days 00:01:13.840000,3.0,0 days 02:27:53.319000,0 days 00:00:18.710000,0 days 00:00:38.227000,0 days 00:00:16.903000
VER,71.0,0 days 00:01:13.699000,3.0,0 days 02:29:07.018000,0 days 00:00:18.807000,0 days 00:00:38.150000,0 days 00:00:16.742000
GAS,1.0,0 days 00:01:23.216000,8.0,0 days 00:58:17.888000,,0 days 00:00:40.271000,0 days 00:00:17.230000
GAS,2.0,0 days 00:01:51.215000,9.0,0 days 01:00:09.103000,0 days 00:00:19.714000,0 days 00:01:10.783000,0 days 00:00:20.718000
GAS,3.0,0 days 00:01:52.063000,9.0,0 days 01:02:01.166000,0 days 00:00:25.493000,0 days 00:01:01.535000,0 days 00:00:25.035000
GAS,4.0,0 days 00:01:48.619000,9.0,0 days 01:03:49.785000,0 days 00:00:26.554000,0 days 00:00:59.503000,0 days 00:00:22.562000
GAS,5.0,0 days 00:01:54.339000,9.0,0 days 01:05:44.124000,0 days 00:00:29.939000,0 days 00:00:54.130000,0 days 00:00:30.270000
GAS,6.0,0 days 00:01:18.106000,8.0,0 days 01:07:02.230000,0 days 00:00:20.739000,0 days 00:00:40.298000,0 days 00:00:17.069000
GAS,7.0,0 days 00:01:43.042000,8.0,0 days 01:08:45.272000,0 days 00:00:31.585000,0 days 00:00:47.266000,0 days 00:00:24.191000
GAS,8.0,0 days 00:01:39.247000,8.0,0 days 01:10:24.519000,0 days 00:00:27.337000,0 days 00:00:52.648000,0 days 00:00:19.262000
GAS,9.0,0 days 00:01:15.653000,8.0,0 days 01:11:40.172000,0 days 00:00:20.056000,0 days 00:00:38.815000,0 days 00:00:16.782000
GAS,10.0,0 days 00:01:14.707000,8.0,0 days 01:12:54.879000,0 days 00:00:19.183000,0 days 00:00:38.641000,0 days 00:00:16.883000
GAS,11.0,0 days 00:01:14.672000,8.0,0 days 01:14:09.551000,0 days 00:00:19.054000,0 days 00:00:38.636000,0 days 00:00:16.982000
GAS,12.0,0 days 00:01:15.674000,8.0,0 days 01:15:25.225000,0 days 00:00:19.183000,0 days 00:00:39.393000,0 days 00:00:17.098000
GAS,13.0,0 days 00:01:16.208000,8.0,0 days 01:16:41.433000,0 days 00:00:19.394000,0 days 00:00:39.631000,0 days 00:00:17.183000
GAS,14.0,0 days 00:01:15.919000,8.0,0 days 01:17:57.352000,0 days 00:00:19.394000,0 days 00:00:39.356000,0 days 00:00:17.169000
GAS,15.0,0 days 00:01:15.877000,8.0,0 days 01:19:13.229000,0 days 00:00:19.333000,0 days 00:00:39.328000,0 days 00:00:17.216000
GAS,16.0,0 days 00:01:15.955000,8.0,0 days 01:20:29.184000,0 days 00:00:19.438000,0 days 00:00:39.293000,0 days 00:00:17.224000
GAS,17.0,0 days 00:01:16.148000,7.0,0 days 01:21:45.332000,0 days 00:00:19.364000,0 days 00:00:39.613000,0 days 00:00:17.171000
GAS,18.0,0 days 00:01:19.740000,11.0,0 days 01:23:05.072000,0 days 00:00:19.223000,0 days 00:00:39.232000,0 days 00:00:21.285000
GAS,19.0,0 days 00:01:32.147000,16.0,0 days 01:24:37.219000,0 days 00:00:37.513000,0 days 00:00:37.952000,0 days 00:00:16.682000
