Driver,Lap Number,Pit Out Time,Pit In Time
VER,1.0,0 days 00:57:08.347000,
VER,8.0,0 days 01:09:12.204000,
VER,35.0,0 days 01:43:29.172000,
VER,55.0,0 days 02:08:25.635000,
GAS,19.0,0 days 01:23:25.939000,
GAS,40.0,0 days 01:50:02.264000,
ANT,22.0,0 days 01:27:01.261000,
ANT,48.0,0 days 01:59:41.180000,
ALO,29.0,0 days 01:36:11.039000,
ALO,47.0,0 days 01:59:01.549000,
STR,30.0,0 days 01:37:29.568000,
STR,55.0,0 days 02:09:03.218000,
TSU,3.0,0 days 01:00:39.939000,
TSU,25.0,0 days 01:31:17.224000,
TSU,48.0,0 days 02:00:35.464000,
ALB,36.0,0 days 01:44:58.146000,
ALB,56.0,0 days 02:10:12.668000,
HUL,37.0,0 days 01:46:10.550000,
LAW,20.0,0 days 01:24:40.669000,
OCO,1.0,0 days 00:57:09.520000,
OCO,9.0,0 days 01:10:53.830000,
OCO,48.0,0 days 02:00:12.793000,
NOR,31.0,0 days 01:38:06.868000,
NOR,51.0,0 days 02:03:15.362000,
COL,30.0,0 days 01:37:28.918000,
COL,44.0,0 days 01:55:22.027000,
HAM,3.0,0 days 01:01:04.675000,
HAM,15.0,0 days 01:18:27.921000,
HAM,33.0,0 days 01:41:36.672000,
SAI,18.0,0 days 01:22:14.380000,
SAI,39.0,0 days 01:48:50.481000,
HAD,19.0,0 days 01:23:23.025000,
HAD,38.0,0 days 01:47:31.260000,
RUS,35.0,0 days 01:43:23.004000,
RUS,49.0,0 days 02:00:58.573000,
PIA,39.0,0 days 01:48:27.960000,
PIA,52.0,0 days 02:04:47.562000,
BEA,18.0,0 days 01:22:08.385000,
BEA,43.0,0 days 01:53:39.917000,
