Abbreviation,Full Name,Status
NOR,Lando Norris,Finished
ANT,Kimi Antonelli,Finished
VER,Max Verstappen,Finished
RUS,George Russell,Finished
PIA,Oscar Piastri,Finished
BEA,Oliver Bearman,Finished
LAW,Liam Lawson,Finished
HAD,Isack Hadjar,Finished
HUL,Nico Hulkenberg,Finished
GAS,Pierre Gasly,Finished
ALB,Alexander Albon,Finished
OCO,Esteban Ocon,Finished
SAI,Carlos Sainz,Finished
ALO,Fernando Alonso,Finished
COL,Franco Colapinto,Finished
STR,Lance Stroll,Finished
TSU,Yuki Tsunoda,Finished
HAM,Lewis Hamilton,Retired
LEC,Charles Leclerc,Retired
BOR,Gabriel Bortoleto,Retired
